DR,NARRATIVE,CRIMETYPE
131814325,S FIRED NUMEROUS ROUNDS STRIKING THE V S FLED THE LOC IN VEH,Aggravated Assault  
91228601,SUSP AND VIC WERE INVLD IN A VERBAL ARGUMENT SUSP STRUCK VIC IN HAND WITH UNK OBJECT CAUSING HALF INCH LACERATION TO HIS LEFT THUMB,Aggravated Assault  
140710012,UNKN SUSP PUSHED V FROM BEHIND CAUSING V TO FALL OFF AND BLACK OUT WHENV CAME TOO BIKE AND SUSP WERE GONE,Robbery
101224416,S APPROACHED W1 AND W2 POINTED A HANDGUN AT BOTH AND FORCED BACK INTO BUS S DEMANDED MON FROM STORE BUT WAS UNSUCCESSFUL WHEN W1 ACTIVATED SILENT ALAR,Robbery
100120688,SUSP REMOVED MERCHANDISE(CLOTHING) FROM MACYS AND WALKED OUT WITHOUT PAYING (SHOPLIFT). S HAD A PRIOR ARR FOR SHOPLIFTING.,THEFT
100918308, UNK SUSP ENTERED VICTS UNDERGROUND GARAGE AND REMOVED VICTS PROP SUSP FLED WITH VICTS PROP TO UNK LOC,THEFT
141511137,SUSP AIMED GUN AT VICT DURING DISPUTE. ROAD RAGE,Aggravated Assault  
101313024,S AND VICTS WERE IN A VERBAL DISPUTE S BECAME ANGRY AND THREW A BABY STROLLER AT VICTS S FLED THE LOC SB ON TOWNE IN A VEH,Aggravated Assault  
130515969,UNK S OPENED UNLOCKED VEH AND TOOK PROP,BTFV
142104839,UNK SUSP TOOK PACKAGE LEFT ON VICT DOOR STEP UPS DELIVERED IT TO VICT RES,THEFT
141811605,S APP V ON FOOT AND GRABBED HER PURSE AND REMOVED MONEY AND CELLPHN FROM IT  S STATED TO V IF YO UTELL ANYONE SOMETHINGS GOING TO HAPPEN TO YOU,Robbery
100504742,PROP MISSING FROM RECOVERED VEH,Grand Theft Auto 
131019348,S REMOVED PROPERTY FROM VICTS VEH DURING THE PERIOD OF TIME VEH HAD    BEEN REPORTED STOLEN,Grand Theft Auto 
90719304,UNIDENTIFIED SUSPECT ENTERED V01 CLOSET AND REMOVED V01 PROPERTY THEN FLED IN UNKNOWN DIRECTION,THEFT
